dist	m1	ra	m2	iota	dec
3.611508049999999770e+01	4.472046704296523956e+00	2.154094999999999871e+00	4.402656638813977175e+00	2.838396999999999726e-01	-3.958573000000000230e-01
3.056581639999999922e+01	4.550382605457682139e+00	2.132396700000000145e+00	4.302696179477409011e+00	6.408977000000000146e-01	-4.262935999999999948e-01
3.485821250000000049e+01	4.437461786802528785e+00	2.137852000000000086e+00	4.415730648940199288e+00	3.210128999999999899e-01	-4.226848000000000272e-01
4.283349230000000318e+01	4.455478007976213739e+00	2.191206199999999882e+00	4.397757735930682976e+00	1.630331999999999892e-01	-3.669795000000000140e-01
3.039238369999999989e+01	4.753899118926227629e+00	2.235581199999999935e+00	4.135995393076698612e+00	7.376473000000000058e-01	-3.304593000000000114e-01
5.739056029999999708e+01	5.927220016592233520e+00	2.296667900000000095e+00	3.334661093998810166e+00	1.771340999999999888e-01	-1.397806000000000048e-01
3.974404750000000064e+01	5.665777762702579601e+00	2.305937600000000032e+00	3.477660056524606080e+00	5.991113999999999606e-01	-1.780984999999999929e-01
3.047132179999999835e+01	5.764678537888329402e+00	2.204059500000000060e+00	3.422792293567540334e+00	6.181974999999999554e-01	-3.374190000000000245e-01
3.696587430000000296e+01	5.399801730505658703e+00	2.215925599999999829e+00	3.641383295975143763e+00	3.139890000000000181e-01	-3.457277000000000267e-01
3.989797889999999825e+01	5.633309657887899391e+00	2.194393900000000119e+00	3.500694100758098504e+00	3.691136999999999890e-01	-3.376021000000000161e-01
2.866113449999999929e+01	5.496501373033113147e+00	2.179806399999999922e+00	3.583169794730423963e+00	6.810070000000000290e-01	-3.740975000000000272e-01
4.144001049999999964e+01	5.546644125655078028e+00	2.173552499999999998e+00	3.558376877775968783e+00	4.550510999999999862e-01	-3.627948999999999757e-01
5.888123600000000124e+01	5.634539622610290621e+00	2.293224899999999788e+00	3.495223816691200192e+00	1.675529000000000046e-01	-1.233560999999999963e-01
4.857118090000000166e+01	5.178162571327575847e+00	2.317095199999999799e+00	3.802540705505063734e+00	7.416580999999999868e-01	-9.565590000000000204e-02
5.404172429999999849e+01	5.295659366611069174e+00	2.300919299999999890e+00	3.718403887821184473e+00	8.501792000000000238e-01	-6.880650000000000654e-02
3.633587419999999923e+01	5.449387603447013895e+00	2.256574599999999986e+00	3.603555231183391161e+00	7.365007000000000081e-01	-2.638900000000000134e-01
5.643451429999999647e+01	5.465234719797118501e+00	2.312717099999999970e+00	3.604924020048849709e+00	6.173180999999999807e-01	-4.761920000000000042e-02
3.942305780000000226e+01	4.866795467073958825e+00	2.338651200000000152e+00	4.027576937040846516e+00	9.215305999999999775e-01	2.455200000000000091e-02
3.444845860000000215e+01	4.706217552540104876e+00	2.351209199999999999e+00	4.162137388752006117e+00	1.114737199999999984e+00	2.087719999999999854e-02
5.225533819999999707e+01	5.050863259899161406e+00	2.331369599999999931e+00	3.889263201955921900e+00	1.446668000000000120e-01	2.021090000000000039e-02
