simulation_id,mass,mchirp,distance
9551,2.3440604,1.0194297,123.20577
36823,2.8555438,1.2362551,93.5935
17131,2.9339802,1.2684284,130.87704
11431,3.5874502,1.560071,142.53025
8291,3.0609497,1.2824259,108.88356
16037,2.3837351,1.0373156,80.980227
2697,3.4589534,1.5022738,76.481671
38768,2.8389992,1.1986436,103.69948
33530,2.7607956,1.1857261,135.76793
9848,3.3703671,1.4654472,127.84618
45876,2.6458561,1.1300492,110.82476
29026,3.0627143,1.2730587,147.42017
44182,2.519472,1.0965337,114.49657
5901,3.0685831,1.3348864,148.34479
33851,2.983496,1.2965322,123.28138
31155,2.7455588,1.1902152,75.165227
18821,3.9098459,1.7015499,74.480656
25887,2.6004569,1.1209,61.008332
31931,3.5310046,1.5340767,129.51238
